total_medals,Country_code,Country,year,gdp_per_capita_growth,under5_mortality,physicians_per_1000,life_expec_under5,population,urban_population_pct,log_population,log_medals
5.0,FIN,Finland,1992,-3.85315295201346,6.1,3.149,75.4553658536585,5041992.0,64.0954742431641,15.433311800056789,1.791759469228055
4.0,FIN,Finland,1996,3.32316149378687,4.9,2.26,76.6934146341464,5124573.0,65.2098222301322,15.449557762444515,1.6094379124341003
4.0,FIN,Finland,2000,5.53441379935349,4.3,2.499,77.4658536585366,5176209.0,67.1227685349539,15.459583493018465,1.6094379124341003
2.0,FIN,Finland,2004,3.70383750334673,3.9,3.653,78.7146341463415,5228172.0,68.2766596767133,15.469572252955532,1.0986122886681098
4.0,FIN,Finland,2008,0.316320525705208,3.3,3.742,79.5682926829268,5313399.0,69.2943672196361,15.485742301427535,1.6094379124341003
3.0,FIN,Finland,2012,-1.99029082999297,2.8,3.556,80.6268292682927,5413971.0,70.3661363168712,15.504493392658846,1.3862943611198906
1.0,FIN,Finland,2016,2.27754373131673,2.4,3.42,81.4292682926829,5495303.0,71.6158383428171,15.519404285336954,0.6931471805599453
9.0,FRA,France,1976,3.89596423761951,14.4,1.5,73.1024390243903,54232383.0,73.0820015754495,17.80878876031907,2.302585092994046
14.0,FRA,France,1980,1.13499020458092,12.4,1.9,74.0512195121951,55274184.0,73.2481970470056,17.827816522047936,2.70805020110221
28.0,FRA,France,1984,1.11432810235115,10.7,2.5,75.0,56383085.0,73.487468496869,17.847679760138366,3.367295829986474
16.0,FRA,France,1988,4.21003285861991,9.6,2.9,76.1,57598186.0,73.8329418235332,17.869001632114646,2.833213344056216
29.0,FRA,France,1992,1.01174283165568,8.1,3.184,77.1,58846584.0,74.4051122960444,17.890444344106477,3.4011973816621555
37.0,FRA,France,1996,1.03528502888366,6.1,3.283,77.9536585365854,59754504.0,75.3592581297959,17.905755126688046,3.6375861597263857
38.0,FRA,France,2000,3.42869029655284,5.4,3.328,79.0560975609756,60918661.0,76.5143983146093,17.925050106104244,3.6635616461296463
33.0,FRA,France,2004,2.11736543407739,4.8,3.413,80.1634146341463,62707588.0,77.4900500011961,17.953993019014383,3.5263605246161616
41.0,FRA,France,2008,-0.178410661195599,4.4,3.385,81.2146341463415,64375116.0,77.1561901569367,17.980237718888297,3.7376696182833684
