total_medals,Country_code,Country,year,gdp_per_capita_growth,under5_mortality,physicians_per_1000,life_expec_under5,population,urban_population_pct,log_population,log_medals
44.0,CAN,Canada,1984,4.9035541763206,10.1,1.9,76.3319512195122,25607053.0,76.218047632138,17.058378379316984,3.8066624897703196
10.0,CAN,Canada,1988,3.06576122858351,8.8,2.1,76.8587804878049,26791747.0,76.5177005456627,17.10360445029424,2.3978952727983707
18.0,CAN,Canada,1992,-0.296709575701925,7.7,2.1,77.8380487804878,28371264.0,76.7352832428064,17.16088735989898,2.9444389791664403
22.0,CAN,Canada,1996,0.631530881733894,6.7,2.1,78.220243902439,29610218.0,77.8924633929695,17.203630062428246,3.1354942159291497
12.0,CAN,Canada,2004,2.13581560192544,6.1,1.8971,79.9921951219512,31938807.0,79.6923063348315,17.279332348769906,2.5649493574615367
19.0,CAN,Canada,2008,-0.0933427924909864,5.9,1.959,80.7246341463415,33247298.0,80.6628944916604,17.319484058606214,2.995732273553991
18.0,CAN,Canada,2012,0.658841956783917,5.6,2.3962,81.6636585365854,34713395.0,81.1513483248791,17.36263619348411,2.9444389791664403
22.0,CAN,Canada,2016,-0.0982963624127819,5.3,2.3105,81.94,36110803.0,81.3023011093703,17.4021026306137,3.1354942159291497
32.0,CHN,China,1984,13.7305061049976,55.0,1.33,66.148,1036825000.0,23.0142688751221,20.7594289959259,3.4965075614664802
28.0,CHN,China,1988,9.4461713568776,54.0,1.47,67.607,1101630000.0,25.8146724700928,20.820056738123373,3.367295829986474
50.0,CHN,China,1996,8.82951365878655,45.6,1.199,70.823,1217550000.0,30.4798641204834,20.920106479839568,3.9318256327243257
58.0,CHN,China,2000,7.73418016479314,36.7,1.263,72.288,1262645000.0,36.4320234662299,20.95647456400401,4.07753744390572
63.0,CHN,China,2004,9.47923943183717,26.4,1.215,73.727,1296075000.0,41.7600135803223,20.98260630357244,4.1588830833596715
100.0,CHN,China,2008,9.10974706584638,18.5,1.343,74.833,1324655000.0,46.9895057678223,21.004417885122038,4.61512051684126
88.0,CHN,China,2012,7.12701272347094,13.5,1.562,76.2,1354190000.0,53.1003112792969,21.026469326554942,4.48863636973214
70.0,CHN,China,2016,6.16542718232793,9.9,1.888,77.214,1387790000.0,58.8399238586426,21.050978390754533,4.2626798770413155
0.0,CIV,Cote d'Ivoire,1996,3.63603752351062,150.7,0.09,51.596,15442312.0,41.6377848898263,16.552621832283492,0.0
0.0,CIV,Cote d'Ivoire,2004,0.712925866714116,125.7,0.106,51.939,19595000.0,44.667357886658,16.79078498961587,0.0
0.0,CIV,Cote d'Ivoire,2008,2.42600024388695,109.5,0.128,54.179,21514439.0,46.3620274395029,16.88423484908337,0.0
0.0,CMR,Cameroon,1992,-5.83737588435096,140.4,0.084,54.053,12006353.0,41.4395077111738,16.30094648432738,0.0
0.0,CMR,Cameroon,1996,1.4475466909911,148.1,0.074,53.2,13414757.0,43.9769773548092,16.411865927626366,0.0
1.0,CMR,Cameroon,2004,4.14782057634264,131.3,0.188,54.578,16610487.0,48.1826845960942,16.6255448008466,0.6931471805599453
0.0,COD,"Congo, Dem. Rep.",1996,-2.90765166387062,172.5,0.069,49.376,45296124.0,32.9262619269359,17.62873202387864,0.0
0.0,COD,"Congo, Dem. Rep.",2004,3.64120168828556,140.7,0.107,53.534,56997741.0,37.0,17.858522193434524,0.0
1.0,COL,Colombia,1992,2.00413314386418,33.3,0.922,68.764,33760571.0,70.4190206034906,17.334804141056107,0.6931471805599453
0.0,COL,Colombia,1996,0.213941191632387,28.8,1.095,70.209,36462745.0,72.3326212825811,17.41180161236763,0.0
1.0,COL,Colombia,2000,1.25270223212341,25.1,1.264,70.905,39089934.0,74.3493570179247,17.481375549356354,0.6931471805599453
2.0,COL,Colombia,2004,3.79715867736165,22.2,1.391,72.76,41543171.0,75.8080569479496,17.54224370956042,1.0986122886681098
2.0,COL,Colombia,2008,2.04799051810861,19.6,1.563,74.206,43758808.0,76.4596761810047,17.59420347621888,1.0986122886681098
8.0,COL,Colombia,2012,2.87569627540904,17.2,1.814,75.611,45715810.0,76.942211203265,17.637954747896842,2.1972245773362196
8.0,COL,Colombia,2016,1.08114925712198,15.1,2.088,76.228,47437512.0,77.2036266362166,17.67492386608452,2.1972245773362196
0.0,COM,Comoros,2004,1.16411909687749,68.0,0.198,60.557,580704.0,27.9596300229124,13.27199643957475,0.0
0.0,COM,Comoros,2012,1.11385857437342,52.1,0.181,63.463,681630.0,29.397950693899,13.432242267613159,0.0
0.0,COM,Comoros,2016,1.22276485365785,47.6,0.291,64.792,741741.0,30.7305018169792,13.516755404611308,0.0
0.0,CPV,Cabo Verde,1996,9.39028619703035,51.7,0.171,65.521,425581.0,50.4962228454294,12.961210573155906,0.0
0.0,CPV,Cabo Verde,2004,8.82078735562469,28.2,0.493,70.499,479370.0,57.0677167011018,13.080228020801544,0.0
0.0,CPV,Cabo Verde,2012,0.983345735610456,24.2,0.508,73.315,511955.0,63.7260454520996,13.145992009534037,0.0
0.0,CPV,Cabo Verde,2016,4.24816232606327,17.6,0.731,74.35,512554.0,68.0354078358316,13.147161350297766,0.0
31.0,CUB,Cuba,1992,-12.1393705305651,12.2,4.345,73.846,10785801.0,74.4140930175781,16.19374110486672,3.4657359027997265
25.0,CUB,Cuba,1996,7.47822503827842,10.1,5.485,74.69,10962010.0,74.784049987793,16.209946216830073,3.258096538021482
29.0,CUB,Cuba,2000,5.56315407850497,8.6,5.941,75.922,11109109.0,75.635383605957,16.22327596037998,3.4011973816621555
27.0,CUB,Cuba,2004,5.49410195800384,7.3,6.203,77.326,11238756.0,75.917681659226,16.234878720148178,3.332204510175204
24.0,CUB,Cuba,2008,4.07542754472641,6.5,6.602,77.589,11291762.0,76.365461375763,16.239583991264816,3.2188758248682006
14.0,CUB,Cuba,2012,3.00028175038565,6.0,7.26,78.162,11303175.0,76.7776920066844,16.24059421766825,2.70805020110221
11.0,CUB,Cuba,2016,0.597183645134152,6.2,8.003,77.571,11265612.0,76.9115829467773,16.237265457936044,2.4849066497880004
0.0,CYP,Cyprus,1992,6.52783779751871,10.6,1.688,76.291,810341.0,67.6074573603626,13.605210425712503,0.0
0.0,CYP,Cyprus,1996,-0.352429769131803,8.6,1.869,76.88,880290.0,68.3349402485415,13.688006677620757,0.0
0.0,CYP,Cyprus,2000,4.84416050602792,6.6,1.899,77.9,947667.0,68.7726966799379,13.761758453706085,0.0
0.0,CYP,Cyprus,2004,3.63073785684536,5.0,1.898,79.007,1017875.0,68.5908141437316,13.833227678769433,0.0
0.0,CYP,Cyprus,2008,1.07674041142521,3.7,2.007,79.906,1091026.0,67.8666261318649,13.902629095878634,0.0
1.0,CYP,Cyprus,2012,-4.90738549673117,3.0,2.236,81.128,1165397.0,67.3010289148738,13.968572359464355,0.6931471805599453
0.0,CYP,Cyprus,2016,6.01835711404337,2.9,2.594,81.534,1237112.0,66.9625604106231,14.028290188908962,0.0
11.0,CZE,Czechia,1996,4.28988759442122,7.7,2.99,73.7146341463415,10315241.0,74.5566488007996,16.149133068247515,2.4849066497880004
8.0,CZE,Czechia,2000,4.3027395227283,5.5,3.38,74.9682926829268,10255063.0,74.0038256456769,16.14328209281446,2.1972245773362196
9.0,CZE,Czechia,2004,4.70446820099657,4.6,3.499,75.7219512195122,10197101.0,73.6991647167017,16.13761402217129,2.302585092994046
6.0,CZE,Czechia,2008,1.76470872925512,3.7,3.558,76.9756097560976,10384603.0,73.4655517409377,16.155834786347864,1.9459101490553132
10.0,CZE,Czechia,2012,-0.909418387644408,3.2,3.676,78.0756097560976,10510785.0,73.2249239592898,16.167912430834612,2.3978952727983707
10.0,CZE,Czechia,2016,2.3840542545404,3.2,4.0194,79.0268292682927,10566332.0,72.9745753395623,16.173183277753544,2.3978952727983707
0.0,DMA,Dominica,1996,3.1918365192295,18.4,0.493,71.039,69410.0,64.9502179888262,11.14778622833363,0.0
1.0,DOM,Dominican Republic,1984,-1.02994061516465,74.8,0.564,65.134,6289040.0,53.399614337093,15.65431899381707,0.6931471805599453
0.0,DOM,Dominican Republic,1988,0.0218847754761811,64.4,1.074,66.914,6855734.0,54.4487152766372,15.740595940374064,0.0
0.0,DOM,Dominican Republic,2000,2.96955695961634,39.8,1.825,70.365,8584190.0,61.3128549215919,15.965432697250883,0.0
2.0,DOM,Dominican Republic,2008,2.00088270726057,35.4,1.085,71.331,9573130.0,72.4865154265802,16.07447077369631,1.0986122886681098
0.0,ECU,Ecuador,1992,-0.0134164931923948,48.6,1.176,69.468,10930128.0,56.3627931231524,16.207033570971614,0.0
1.0,ECU,Ecuador,1996,-0.166942955094115,38.2,1.303,71.82,11810950.0,58.7951345734834,16.284537625243225,0.6931471805599453
0.0,ECU,Ecuador,2000,-0.648225387551591,29.6,0.812,72.09,12689206.0,60.6865005107058,16.356262268781123,0.0
0.0,ECU,Ecuador,2004,4.9766254911447,24.6,0.884,73.868,13608701.0,61.7829573274038,16.426219925546448,0.0
1.0,ECU,Ecuador,2008,4.76318326284088,21.0,1.096,74.709,14575202.0,62.5395521004212,16.49483214945299,0.6931471805599453
0.0,ECU,Ecuador,2012,4.11233799510666,17.4,1.561,75.486,15572194.0,62.8408732819135,16.560997445893292,0.0
0.0,ECU,Ecuador,2016,-2.12550882201938,14.8,2.055,76.094,16505139.0,62.9913367571804,16.619182344924365,0.0
3.0,EGY,"Egypt, Arab Rep.",2016,2.24497375649698,22.4,0.763,70.437,101644589.0,42.5210717266225,18.43699286494445,1.3862943611198906
